,No.,Name,Type,Candidate,Party,Votes (Vote%),Candidate.1,Party.1,Votes (Vote%).1,Margin,Margin %,State
109,5,Sabarkantha,GEN,Dipsinh Rathod,Bharatiya Janata Party,"7,01,984",Rajendra Thakor,INC,"4,32,997","2,68,987",,Gujarat
110,6,Gandhinagar,GEN,Amit Shah,Bharatiya Janata Party,"8,94,624",C. J. Chavada,INC,"3,37,610","5,57,014",,Gujarat
111,7,Ahmedabad East,GEN,Hasmukhbhai Patel,Bharatiya Janata Party,"7,49,834",Gitaben Patel,INC,"3,15,504","4,34,330",,Gujarat
112,8,Ahmedabad West,(SC),Kirit Solanki,Bharatiya Janata Party,"6,41,622",Raju Parmar,INC,"3,20,076","3,21,546",,Gujarat
113,9,Surendranagar,GEN,Mahendra Munjapara,Bharatiya Janata Party,"6,31,844",Somabhai Patel,INC,"3,54,407","2,77,437",,Gujarat
114,10,Rajkot,GEN,Mohan Kundariya,Bharatiya Janata Party,"7,58,645",Lalit Kagathara,INC,"3,90,238","3,68,407",,Gujarat
115,11,Porbandar,GEN,Rameshbhai Dhaduk,Bharatiya Janata Party,"5,63,881",Lalit Vasoya,INC,"3,34,058","2,29,823",,Gujarat
116,12,Jamnagar,GEN,Poonamben Maadam,Bharatiya Janata Party,"5,91,588",Murubhai Kandoriya,INC,"3,54,784","2,36,804",,Gujarat
117,13,Junagadh,GEN,Rajesh Chudasama,Bharatiya Janata Party,"5,47,952",Punjabhai Vansh,INC,"3,97,767","1,50,185",,Gujarat
118,14,Amreli,GEN,Naranbhai Kachhadiya,Bharatiya Janata Party,"5,29,035",Paresh Dhanani,INC,"3,27,604","2,01,431",,Gujarat
119,15,Bhavnagar,GEN,Bharti Shiyal,Bharatiya Janata Party,"6,61,273",Manhar Patel,INC,"3,31,754","3,29,519",,Gujarat
120,16,Anand,GEN,Mitesh Patel,Bharatiya Janata Party,"6,33,097",Bharatbhai Solanki,INC,"4,35,379","1,97,718",,Gujarat
121,17,Kheda,GEN,Devusinh Chauhan,Bharatiya Janata Party,"7,14,572",Bimal Shah,INC,"3,47,427","3,67,145",,Gujarat
122,18,Panchmahal,GEN,Ratansinh Rathod,Bharatiya Janata Party,"7,32,136",V. K. Khant,INC,"3,03,595","4,28,541",,Gujarat
123,19,Dahod,(ST),Jasvantsinh Bhabhor,Bharatiya Janata Party,"5,61,760",Babubhai Katara,INC,"4,34,164","1,27,596",,Gujarat
124,20,Vadodara,GEN,Ranjanben Bhatt,Bharatiya Janata Party,"8,83,719",Prashant Patel,INC,"2,94,542","5,89,177",,Gujarat
125,21,Chhota Udaipur,(ST),Gitaben Rathva,Bharatiya Janata Party,"7,64,445",Ranjit Mohansinh Rathwa,INC,"3,86,502","3,77,943",,Gujarat
126,22,Bharuch,GEN,Mansukhbhai Vasava,Bharatiya Janata Party,"6,37,795",Sherkhan Abdulsakur Pathan,INC,"3,03,581","3,34,214",,Gujarat
127,23,Bardoli,(ST),Parbhubhai Vasava,Bharatiya Janata Party,"7,42,273",Tusharbhai Chaudhari,INC,"5,26,826","2,15,447",,Gujarat
128,24,Surat,GEN,Darshana Jardosh,Bharatiya Janata Party,"7,95,651",Ashok Adhevada,INC,"2,47,421","5,48,230",,Gujarat
129,25,Navsari,GEN,C. R. Patil,Bharatiya Janata Party,"9,72,739",Dharmesh Bhimbhai Patel,INC,"2,83,071","6,89,668",,Gujarat
130,26,Valsad,(ST),K C Patel,Bharatiya Janata Party,"7,71,980",Jitu Chaudhary,INC,"4,18,183","3,53,797",,Gujarat
131,1,Ambala,(SC),Rattan Lal Kataria,Bharatiya Janata Party,"7,46,508",Selja Kumari,INC,"4,04,163","3,42,345",,Haryana
132,2,Kurukshetra,GEN,Nayab Singh,Bharatiya Janata Party,"6,88,629",Nirmal Singh,INC,"3,04,038","3,84,591",,Haryana
133,3,Sirsa,(SC),Sunita Duggal,Bharatiya Janata Party,"7,14,351",Ashok Tanwar,INC,"4,04,433","3,09,918",,Haryana
134,4,Hisar,GEN,Bijendra Singh,Bharatiya Janata Party,"6,03,289",Dushyant Chautala,Jannayak Janta Party,"2,89,221","3,14,068",,Haryana
135,5,Karnal,GEN,Sanjay Bhatia,Bharatiya Janata Party,"9,11,594",Kuldeep Sharma,INC,"2,55,452","6,56,142",,Haryana
136,6,Sonipat,GEN,Ramesh Chander Kaushik,Bharatiya Janata Party,"5,87,664",Bhupinder Singh Hooda,INC,"4,22,800","1,64,864",,Haryana
137,7,Rohtak,GEN,Arvind Kumar Sharma,Bharatiya Janata Party,"5,73,845",Deepender Singh Hooda,INC,"5,66,342","7,503",,Haryana
138,8,Bhiwani–Mahendragarh,GEN,Dharambir Singh,Bharatiya Janata Party,"7,36,699",Shruti Choudhry,INC,"2,92,236","4,44,463",,Haryana
139,9,Gurgaon,GEN,Inderjit Singh Rao,Bharatiya Janata Party,"8,81,546",Ajay Singh Yadav,INC,"4,95,290","3,86,256",,Haryana
140,10,Faridabad,GEN,Krishan Pal Gurjar,Bharatiya Janata Party,"9,13,222",Avtar Singh Bhadana,INC,"2,74,983","6,38,239",,Haryana
