,Unnamed: 0,State,No,Name,Type,Winning Candidate,Winning Candidate Gender,Winning Party,Winner's Votes,Runner Up Candidate,Runner Up Gender,Runner Up Party,Runner Up Votes,Margin Votes,Year
160,160,Jammu And Kashmir,1,Baramulla,GEN,Abdul Rashid Shaheen,M,JKN,84243,Muzaffar Hussain Baig,M,IND,48130,36113,1999
161,161,Jammu And Kashmir,2,Srinagar,GEN,Omer Abdullah,M,JKN,55542,Mebooba Mufti,M,IND,18683,36859,1999
162,162,Jammu And Kashmir,3,Anantnag,GEN,Ali Mohd Naik,M,JKN,38745,Mufti Mohmad Syeed,M,IND,25253,13492,1999
163,163,Jammu And Kashmir,4,Ladakh,GEN,Hassan Khan,M,JKN,52187,Thupstan Chhewang,M,INC,50097,2090,1999
164,164,Jammu And Kashmir,5,Udhampur,GEN,Prof. Chaman Lal Gupta,M,BJP,194678,Jagjiwan Lal,M,JKN,76371,118307,1999
165,165,Jammu And Kashmir,6,Jammu,GEN,Vishno Datt Sharma,M,BJP,289412,Rajinder Singh Chib,M,JKN,147393,142019,1999
166,166,Jammu And Kashmir,By Polls (2002),Jammu,GEN,Chowdhary Talib Hussain,M,JKN,253891,Dr.Nirmal Kumar Singh,M,BJP,198402,55489,1999
167,167,Karnataka,1,Bidar,SC,Ramchandra Veerappa,M,BJP,350221,Narasingarao Suryawanshi,M,INC,198188,152033,1999
168,168,Karnataka,2,Gulbarga,GEN,Iqbal Ahemed Saradgi,M,INC,352359,Basavaraj Patil Sedam,M,BJP,282522,69837,1999
169,169,Karnataka,3,Raichur,GEN,A. Venkatesh Naik,M,INC,359946,Abdul Samad Siddiq,M,JD(U),187740,172206,1999
170,170,Karnataka,4,Koppal,GEN,H.G.Ramulu,M,INC,350599,Basavaraj Rayareddy,M,JD(U),338087,12512,1999
171,171,Karnataka,5,Bellary,GEN,Sonia Gandhi,F,INC,414650,Sushma Swaraj,M,BJP,358550,56100,1999
172,172,Karnataka,By Polls (2000),Bellary,GEN,Kolur Basavanagoud,M,INC,259851,K.S. Veerabhadrappa,M,BJP,163831,96020,1999
173,173,Karnataka,6,Davanagere,GEN,G.Mallikarjunappa,M,BJP,398969,Shamanur Shivashankarappa,M,INC,382700,16269,1999
174,174,Karnataka,7,Chitradurga,GEN,Shashi Kumar,M,JD(U),370793,C.P.Mudalagiriyappa,M,INC,359615,11178,1999
175,175,Karnataka,8,Tumkur,GEN,G.S.Basavaraj,M,INC,318922,S.Mallikarjunaiah,M,BJP,254985,63937,1999
176,176,Karnataka,9,Chikkaballapur,GEN,R.L. Jalappa,M,INC,422587,N.Ramesh,M,JD(U),211401,211186,1999
177,177,Karnataka,10,Kolar,SC,K.H. Muniyappa,M,INC,321964,G. Mangamma,M,BJP,239182,82782,1999
178,178,Karnataka,11,Kanakapura,GEN,M.V.Chandrashekara Murthy,M,INC,532910,M. Srinivas,M,BJP,498893,34017,1999
179,179,Karnataka,By Polls (2002),Kanakapura,GEN,H.D.Devegowda,M,JD(S),581709,D.K.Shivakumar,M,INC,529133,52576,1999
180,180,Karnataka,12,Bangalore North,GEN,C.K Jaffar Sharief,M,INC,525523,Michael B.Fernandes,M,JD(U),349918,175605,1999
181,181,Karnataka,13,Bangalore South,GEN,Ananth Kumar,M,BJP,410161,B.K.Hari Prasad,M,INC,344107,66054,1999
182,182,Karnataka,14,Mandya,GEN,Amaranatha .M.H,M,INC,418110,Krishna,M,JD(S),265930,152180,1999
183,183,Karnataka,15,Chamarajanagar,SC,V.Sreenivasaprasad,M,JD(U),311547,A.Siddaraju,M,INC,295401,16146,1999
184,184,Karnataka,16,Mysore,GEN,Srikantadatta Narasimharaja Wadiyar,M,INC,338051,C.H.Vijayashankar,M,BJP,324620,13431,1999
185,185,Karnataka,17,Mangalore,GEN,V.Dhananjaya Kumar,M,BJP,353536,M.Veerappa Moily,M,INC,345067,8469,1999
186,186,Karnataka,18,Udupi,GEN,Vinay Kumar Sorake,M,INC,352326,I.M. Jayaram Shetty,M,BJP,320739,31587,1999
