,Unnamed: 0.1,Unnamed: 0,State,Name,Type,Winning Candidate,Winning Party,Winning Percentage,Winner's Votes,Runner Up Candidate,Runner Up Party,Runner Up Percentage,Runner Up Votes,Margin %,Margin Votes
345,345,345,Tamil Nadu,Coimbatore,GEN,Ganapathi P. Rajkumar,DMK,41,568200,K. Annamalai [ta],BJP,32,450132,8,118068
346,346,346,Tamil Nadu,Pollachi,GEN,Eswarasamy,DMK,47,533377,A. Karthikeyan,AIADMK,24,281335,22,252042
347,347,347,Tamil Nadu,Dindigul,GEN,R. Sachidanandam,CPI(M),58,670149,M. A. Mohamed Mubarak,AIADMK,19,226328,38,443821
348,348,348,Tamil Nadu,Karur,GEN,Jothimani,INC,47,534906,L. Thangavel,AIADMK,32,368090,14,166816
349,349,349,Tamil Nadu,Tiruchirappalli,GEN,Durai Vaiko,MDMK,51,542213,P. Karuppaiah,AIADMK,21,229119,29,313094
350,350,350,Tamil Nadu,Perambalur,GEN,Arun Nehru,DMK,53,603209,N. D. Chandramohan,AIADMK,18,214102,34,389107
351,351,351,Tamil Nadu,Cuddalore,GEN,M. K. Vishnu Prasad,INC,44,455053,P. Sivakozhundu,DMDK,26,269157,18,185896
352,352,352,Tamil Nadu,Chidambaram,SC,Thol. Thirumavalavan,VCK,43,505084,M. Chandrahasan,AIADMK,34,401530,8,103554
353,353,353,Tamil Nadu,Mayiladuthurai,GEN,Sudha Ramakrishnan,INC,47,518459,P. Babu,AIADMK,22,247276,24,271183
354,354,354,Tamil Nadu,Nagapattinam,SC,V. Selvaraj,CPI,47,465044,G. Sursith Sankar,AIADMK,26,256087,21,208957
355,355,355,Tamil Nadu,Thanjavur,SC,S. Murasoli,DMK,48,502245,P. Sivanesan,DMDK,17,182662,31,319583
356,356,356,Tamil Nadu,Sivaganga,GEN,Karti Chidambaram,INC,40,427677,A. Xavierdass,AIADMK,21,222013,19,205664
357,357,357,Tamil Nadu,Madurai,GEN,S. Venkatesan,CPI(M),43,430323,Raama Sreenivasan,BJP,22,220914,21,209409
358,358,358,Tamil Nadu,Theni,GEN,Thanga Tamil Selvan,DMK,50,571493,T. T. V. Dhinakaran,AMMK,25,292668,24,278825
359,359,359,Tamil Nadu,Virudhunagar,GEN,Manickam Tagore,INC,36,385256,V. Vijayaprabhakaran,DMDK,35,380877,0,4379
360,360,360,Tamil Nadu,Ramanathapuram,GEN,Kani K. Navas,IUML,45,509664,O. Paneerselvam,Independent,30,342882,15,166782
361,361,361,Tamil Nadu,Thoothukkudi,GEN,Kanimozhi,DMK,55,540729,R. Velumany Sivasamy,AIADMK,15,147991,40,392738
362,362,362,Tamil Nadu,Tenkasi,GEN,Rani Srikumar,DMK,40,425679,K. Krishnasamy,AIADMK,22,229480,18,196199
363,363,363,Tamil Nadu,Tirunelveli,GEN,C. Robert Bruce,INC,47,502296,Nainar Nagenthran,BJP,31,336676,15,165620
364,364,364,Tamil Nadu,Kanyakumari,GEN,Vijay Vasanth,INC,53,546248,Pon Radhakrishnan,BJP,35,366341,17,179907
365,365,365,Telangana,Peddapalli,SC,Vamsi Krishna Gaddam,INC,43,475587,Srinivas Gomase,BJP,31,344223,11,131364
366,366,366,Telangana,Karimnagar,GEN,Bandi Sanjay Kumar,BJP,44,585116,Velchala Rajender Rao,INC,27,359907,17,225209
367,367,367,Telangana,Nizamabad,GEN,Arvind Dharmapuri,BJP,48,592318,T. Jeevan Reddy,INC,39,483077,8,109241
368,368,368,Telangana,Zahirabad,GEN,Suresh Kumar Shetkar,INC,42,528418,B. B. Patil,BJP,39,482230,3,46188
369,369,369,Telangana,Medak,GEN,Raghunandan Rao,BJP,33,471217,Neelam Madhu,INC,31,432078,2,39139
370,370,370,Telangana,Malkajgiri,GEN,Etela Rajender,BJP,51,991042,Patnam Suneetha Mahender Reddy,INC,31,599567,20,391475
